,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,KineticEnergy,Potential,Energy
64,1.28,0.0,2.0,0.0,0.0,-0.53498607,0.07247171,-4.62203272,1.2828698,-2.00443627,-1.28457794,-7.6417048,4.55328323,51.06849094,7.73146572,58.79995666
65,1.3,0.0,2.0,0.0,0.0,-0.62838547,0.10086576,-4.71172934,1.55895235,-2.15408264,-1.19261213,-7.32284377,4.63933368,49.88909183,8.91086551,58.79995734
66,1.32,0.0,2.0,0.0,0.0,-0.72320637,0.13491019,-4.76402906,1.84714435,-2.29734544,-1.09914825,-7.00325406,4.70378686,48.63954673,10.16041099,58.79995772
67,1.34,0.0,2.0,0.0,0.0,-0.81869406,0.17480418,-4.77834909,2.14314832,-2.4342005,-1.00457605,-6.68188252,4.75081114,47.32173264,11.47822527,58.79995791
68,1.36,0.0,2.0,0.0,0.0,-0.91408675,0.22065708,-4.75454874,2.44230417,-2.56460083,-0.90920763,-6.35750732,4.784015,45.93764112,12.86231685,58.79995797
69,1.38,0.0,2.0,0.0,0.0,-1.0086243,0.27248433,-4.69291276,2.73973248,-2.68847262,-0.81328672,-6.02882467,4.80653607,44.48954009,14.31041791,58.799958
70,1.4,0.0,2.0,0.0,0.0,-1.10155598,0.33020212,-4.59410709,3.03044234,-2.8057162,-0.71699883,-5.69454603,4.82109264,42.98009473,15.81986335,58.79995808
71,1.42,0.0,2.0,0.0,0.0,-1.19214827,0.39362231,-4.45918291,3.30911165,-2.916211,-0.62048133,-5.35379276,4.82984264,41.4125045,17.38745379,58.79995829
72,1.44,0.0,2.0,0.0,0.0,-1.27969324,0.4624486,-4.28967006,3.57011061,-3.01982373,-0.52383352,-5.00634515,4.83434881,39.79068958,19.00926915,58.79995872
73,1.46,0.0,2.0,0.0,0.0,-1.36351869,0.53627178,-4.08765087,3.80778338,-3.11642292,-0.42712845,-4.6526604,4.83565029,38.1194332,20.68052629,58.7999595
74,1.48,0.0,2.0,0.0,0.0,-1.44300158,0.61456695,-3.855947,4.01640305,-3.20589826,-0.33042619,-4.29426771,4.83409116,36.40449665,22.39546405,58.7999607
75,1.5,0.0,2.0,0.0,0.0,-1.51758419,0.69669743,-3.59832928,4.19044797,-3.28818106,-0.23378667,-3.93394688,4.82926103,34.65276397,24.14719844,58.79996241
76,1.52,0.0,2.0,0.0,0.0,-1.58679344,0.78192383,-3.31951468,4.32525266,-3.36326732,-0.13728372,-3.57537891,4.82018481,32.87225215,25.92771253,58.79996468
77,1.54,0.0,2.0,0.0,0.0,-1.65026179,0.86942266,-3.02524819,4.41726003,-3.43123851,-0.04101793,-3.2232067,4.80527208,31.07200698,27.7279605,58.79996747
78,1.56,0.0,2.0,0.0,0.0,-1.70774444,0.95831616,-2.72209941,4.46454662,-3.49227273,0.054875,-2.88256367,4.78254542,29.26195786,29.53801285,58.79997071
79,1.58,0.0,2.0,0.0,0.0,-1.75913203,1.04770758,-2.41691999,4.46721592,-3.54664938,0.15021908,-2.55825634,4.75004575,27.4525652,31.34740904,58.79997423
80,1.6,0.0,2.0,0.0,0.0,-1.80445353,1.13672054,-2.1165546,4.42720597,-3.59474101,0.24479921,-2.25463725,4.70590415,25.65443955,33.14553832,58.79997787
81,1.62,0.0,2.0,0.0,0.0,-1.84386746,1.22453596,-1.82715266,4.3481686,-3.63699403,0.33836839,-1.97488281,4.64873373,23.87797224,34.92200918,58.79998143
82,1.64,0.0,2.0,0.0,0.0,-1.87764606,1.31041983,-1.55375454,4.23493262,-3.67390699,0.4306568,-1.72081547,4.57775358,22.13292061,36.66706415,58.79998475
83,1.66,0.0,2.0,0.0,0.0,-1.9061507,1.39374169,-1.30027193,4.0928997,-3.70600337,0.5213844,-1.49321823,4.49267093,20.42816391,38.37182383,58.79998774
84,1.68,0.0,2.0,0.0,0.0,-1.92980581,1.47398116,-1.06915878,3.92759841,-3.73380845,0.61027211,-1.29159991,4.39382345,18.77152228,40.02846806,58.79999034
85,1.7,0.0,2.0,0.0,0.0,-1.94907468,1.55072562,-0.86173834,3.74423138,-3.75783214,0.69705048,-1.11477347,4.28190867,17.16966164,41.63033089,58.79999253
86,1.72,0.0,2.0,0.0,0.0,-1.96443612,1.62366149,-0.6784134,3.54746475,-3.77855412,0.78146747,-0.96113342,4.15785446,15.628141,43.17185333,58.79999433
87,1.74,0.0,2.0,0.0,0.0,-1.97636777,1.69256168,-0.51866288,3.34127986,-3.79641748,0.86329191,-0.82860763,4.02283221,14.15146596,44.64852983,58.79999578
88,1.76,0.0,2.0,0.0,0.0,-1.98533328,1.75727218,-0.38154999,3.12898119,-3.81182566,0.94231541,-0.71521244,3.87798471,12.74319895,46.05679798,58.79999693
89,1.78,0.0,2.0,0.0,0.0,-1.99177202,1.81769822,-0.26576888,2.91323437,-3.82514063,1.01835331,-0.6189988,3.72444321,11.40610216,47.39389565,58.79999781
90,1.8,0.0,2.0,0.0,0.0,-1.99609453,1.87379219,-0.16967048,2.69608347,-3.83668615,1.09124312,-0.53798547,3.56334311,10.14224831,48.65775017,58.79999849
91,1.82,0.0,2.0,0.0,0.0,-1.99867909,1.92554292,-0.09163869,2.47911611,-3.84675024,1.16084321,-0.47052176,3.39565694,8.95314557,49.84685342,58.79999899
92,1.84,0.0,2.0,0.0,0.0,-1.99986933,1.972966,-0.02998731,2.26349515,-3.85558734,1.22703142,-0.41508221,3.22228227,7.83985289,50.96014646,58.79999935
93,1.86,0.0,2.0,0.0,0.0,-1.99997529,2.01609662,0.01705519,2.04998455,-3.86342301,1.28970257,-0.37017618,3.04407141,6.80306435,51.99693526,58.79999961
94,1.88,0.0,2.0,0.0,0.0,-1.99927379,2.05498309,0.05107667,1.83912109,-3.87045666,1.34876672,-0.33462279,2.86171967,5.84319354,52.95680624,58.79999978
95,1.9,0.0,2.0,0.0,0.0,-1.99800884,2.08968126,0.07362678,1.63120013,-3.87686332,1.40414785,-0.30733633,2.67585521,4.96044574,53.83955415,58.79999989
96,1.92,0.0,2.0,0.0,0.0,-1.99639412,2.12025077,0.0862774,1.42626754,-3.88279717,1.45578178,-0.28720637,2.48708028,4.15486934,54.64513061,58.79999995
97,1.94,0.0,2.0,0.0,0.0,-1.99461444,2.14675158,0.09040201,1.22427989,-3.88839334,1.50361492,-0.27335635,2.29587727,3.42640496,55.37359502,58.79999998
98,1.96,0.0,2.0,0.0,0.0,-1.99282645,2.16924071,0.08730346,1.02507091,-3.89376827,1.54760342,-0.26497108,2.10267737,2.77492702,56.02507297,58.79999999
99,1.98,0.0,2.0,0.0,0.0,-1.99116106,2.18777046,0.07832074,0.82830515,-3.89902194,1.58771177,-0.2611338,1.90791281,2.20027287,56.59972712,58.79999999
100,2.0,0.0,2.0,0.0,0.0,-1.98972483,2.20238679,0.06463058,0.63363162,-3.90423872,1.62391188,-0.26108789,1.71193033,1.70226925,57.09773073,58.79999997
101,2.02,0.0,2.0,0.0,0.0,-1.98860022,2.21312729,0.04733453,0.44065547,-3.90948649,1.65618275,-0.26411965,1.51503546,1.28075472,57.51924524,58.79999996
102,2.04,0.0,2.0,0.0,0.0,-1.98784731,2.22002068,0.02760972,0.24886123,-3.91481772,1.68450951,-0.26934821,1.31755311,0.93559443,57.86440552,58.79999995
