,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,KineticEnergy,Potential,Energy
32,0.64,0.0,4.0,0.0,0.0,0.67933012,3.25783156,-0.68105437,-0.67940875,1.43219812,2.59153074,-1.81233604,-2.01426535,2.35787731,2.20123501,-2.81920981,-4.49074645,3.35694951,2.10629121,-2.89683324,-5.61693365,4.35955957,2.09636294,-2.87484819,-5.78565833,5.36132566,2.09587693,-2.85817451,-5.79633737,6.36220679,2.09586609,-2.84957966,-5.79662886,100.77494273,200.9174331,301.69237583
33,0.66,0.0,4.0,0.0,0.0,0.66548265,3.24428535,-0.70491861,-0.67361575,1.39653666,2.55302358,-1.75140567,-1.83300244,2.30031958,2.11283165,-2.93525075,-4.33841027,3.29730308,1.99300009,-3.07178811,-5.70878606,4.30033732,1.97905694,-3.05262865,-5.94572351,5.30243655,1.97829936,-3.03674286,-5.96272538,6.30348996,1.97828063,-3.02848358,-5.96324684,105.50985295,195.1523957,300.66224865
34,0.68,0.0,4.0,0.0,0.0,0.65110079,3.23095473,-0.73415992,-0.65822874,1.36223506,2.51832518,-1.67793337,-1.63622249,2.24059313,2.02819872,-3.03453441,-4.11467363,3.23397689,1.87818143,-3.26411354,-5.76867594,4.23730413,1.85859571,-3.25510143,-6.10097445,5.23967691,1.8574045,-3.244262,-6.1280933,6.2408726,1.85737158,-3.23865018,-6.12903082,110.24307476,189.34173863,299.58481339
35,0.7,0.0,4.0,0.0,0.0,0.63610224,3.2180014,-0.76600794,-0.63659281,1.32943747,2.48754914,-1.60300964,-1.4445532,2.17912846,1.94865014,-3.10755656,-3.83350124,3.16667854,1.76252546,-3.46785768,-5.79206984,4.17003487,1.73509044,-3.47475266,-6.24991824,5.17255118,1.73321378,-3.47135376,-6.29233181,6.17382009,1.73315558,-3.46970247,-6.29398255,115.00365693,183.45628366,298.45994059
36,0.72,0.0,4.0,0.0,0.0,0.62047392,3.20550399,-0.7964298,-0.61346504,1.29805512,2.46036901,-1.53811889,-1.27991956,2.11653186,1.87508431,-3.14681527,-3.52142884,3.09525625,1.64677565,-3.6751328,-5.7782863,4.09828324,1.60868127,-3.70164038,-6.39119651,5.10079868,1.60575108,-3.70473426,-6.45530772,6.10206485,1.60564927,-3.70641227,-6.45810265,119.80145723,177.48582571,297.28728294
37,0.74,0.0,4.0,0.0,0.0,0.60428305,3.19344658,-0.82178442,-0.59318281,1.26779963,2.43607238,-1.49118958,-1.15800149,2.05352106,1.80780927,-3.14867498,-3.20936174,3.01972634,1.53165174,-3.87720177,-5.73012122,4.02200446,1.47953266,-3.92616944,-6.52373455,5.0244186,1.47504312,-3.93257583,-6.61687324,6.02563218,1.4748693,-3.93583495,-6.62139055,124.61432067,171.45222969,296.06655036
38,0.76,0.0,4.0,0.0,0.0,0.58765623,3.18174167,-0.83970922,-0.57854326,1.23827921,2.41373037,-1.46452694,-1.08453222,1.99084933,1.74655424,-3.11326224,-2.92264055,2.94027577,1.41780291,-4.06612071,-5.65126046,3.94131037,1.3478295,-4.14272344,-6.64647766,4.9435931,1.34111975,-4.14895003,-6.77685431,5.94474247,1.34083231,-4.15179513,-6.78384411,129.4002462,165.39754119,294.79778739
39,0.78,0.0,4.0,0.0,0.0,0.57075769,3.17026649,-0.84883828,-0.56994311,1.20910311,2.39240026,-1.45635129,-1.0553358,1.92922858,1.69066399,-3.04449933,-2.67367957,2.85722343,1.30582566,-4.23684208,-5.54273461,3.85637179,1.21378294,-4.35108105,-6.75771608,4.85855315,1.20401501,-4.3547237,-6.93499764,5.85966195,1.20355503,-4.35578249,-6.94545804,134.11950132,159.36196029,293.48146162
40,0.8,0.0,4.0,0.0,0.0,0.55376715,3.15893145,-0.84890071,-0.56355402,1.17992081,2.37130787,-1.46503174,-1.05825495,1.86925972,1.63937615,-2.94947443,-2.46111973,2.77096037,1.19634344,-4.38700784,-5.40060461,3.76731459,1.07765212,-4.55566923,-6.85421831,4.76945506,1.06376954,-4.55618178,-7.09087216,5.7705667,1.06305437,-4.55478674,-7.10622049,138.74573396,153.37264009,292.11837404
41,0.82,0.0,4.0,0.0,0.0,0.53686901,3.14775612,-0.83943838,-0.55283429,1.15039727,2.34996604,-1.49053769,-1.07768656,1.81137749,1.5920613,-2.83744707,-2.27410505,2.68190658,1.09011248,-4.5158372,-5.2156485,3.67414502,0.93978226,-4.7637106,-6.93050559,4.67629899,0.92043545,-4.76213883,-7.24374259,5.67746274,0.91934756,-4.75836245,-7.26610733,143.26238819,147.44714856,290.70953675
