,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
79,1.58,4.80353374,-0.78448739,1.27316209,-3.33062709,-0.78448739,-4.80353374,-3.33062709,-1.27316209,-4.80353374,0.78448739,-1.27316209,3.33062709,0.78448739,4.80353374,3.33062709,1.27316209,25.42803701,35.46516502,60.89320203
80,1.6,4.8263476,-0.85065578,1.00721026,-3.28546357,-0.85065578,-4.8263476,-3.28546357,-1.00721026,-4.8263476,0.85065578,-1.00721026,3.28546357,0.85065578,4.8263476,3.28546357,1.00721026,23.61748681,37.27571927,60.89320608
81,1.62,4.84378517,-0.91587639,0.73569842,-3.23585962,-0.91587639,-4.84378517,-3.23585962,-0.73569842,-4.84378517,0.91587639,-0.73569842,3.23585962,0.91587639,4.84378517,3.23585962,0.73569842,22.02407924,38.86913044,60.89320967
82,1.64,4.85574519,-0.98006114,0.45962349,-3.18189249,-0.98006114,-4.85574519,-3.18189249,-0.45962349,-4.85574519,0.98006114,-0.45962349,3.18189249,0.98006114,4.85574519,3.18189249,0.45962349,20.6713871,40.22182564,60.89321274
83,1.66,4.86214651,-1.04312381,0.18000087,-3.12367452,-1.04312381,-4.86214651,-3.12367452,-0.18000087,-4.86214651,1.04312381,-0.18000087,3.12367452,1.04312381,4.86214651,3.12367452,0.18000087,19.57948567,41.31372954,60.89321521
84,1.68,4.86292847,-1.10498082,-0.10214051,-3.06135218,-1.10498082,-4.86292847,-3.06135218,0.10214051,-4.86292847,1.10498082,0.10214051,3.06135218,1.10498082,4.86292847,3.06135218,-0.10214051,18.76461977,42.1285973,60.89321707
85,1.7,4.85805104,-1.1655518,-0.38576307,-2.99510504,-1.1655518,-4.85805104,-2.99510504,0.38576307,-4.85805104,1.1655518,0.38576307,2.99510504,1.1655518,4.85805104,2.99510504,-0.38576307,18.23893469,42.65428358,60.89321827
86,1.72,4.84749502,-1.22476032,-0.66982554,-2.92514468,-1.22476032,-4.84749502,-2.92514468,0.66982554,-4.84749502,1.22476032,0.66982554,2.92514468,1.22476032,4.84749502,2.92514468,-0.66982554,18.01027527,42.88294352,60.89321879
87,1.74,4.83126201,-1.28253449,-0.95328794,-2.85171355,-1.28253449,-4.83126201,-2.85171355,0.95328794,-4.83126201,1.28253449,0.95328794,2.85171355,1.28253449,4.83126201,2.85171355,-0.95328794,18.0820561,42.81116252,60.89321863
88,1.76,4.80937437,-1.33880758,-1.23511648,-2.77508376,-1.33880758,-4.80937437,-2.77508376,1.23511648,-4.80937437,1.33880758,1.23511648,2.77508376,1.33880758,4.80937437,2.77508376,-1.23511648,18.45320513,42.44001265,60.89321778
